encoding,num_nodes,num_edges,edge_features
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,44,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,45,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,50,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,48,26,2
Object2ObjectGraph,47,26,2
Object2ObjectGraph,47,26,2
Object2ObjectGraph,47,26,2
Object2ObjectGraph,47,26,2
Object2ObjectGraph,47,26,2
Object2ObjectGraph,24,12,2
Object2ObjectGraph,30,12,2
Object2ObjectGraph,29,12,2
Object2ObjectGraph,27,12,2
Object2ObjectGraph,30,12,2
Object2ObjectGraph,29,12,2
Object2ObjectGraph,28,12,2
Object2ObjectGraph,30,12,2
Object2ObjectGraph,27,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,33,12,2
Object2ObjectGraph,33,12,2
Object2ObjectGraph,33,12,2
Object2ObjectGraph,31,12,2
Object2ObjectGraph,26,12,2
Object2ObjectGraph,22,12,2
Object2ObjectGraph,22,12,2
Object2ObjectGraph,22,12,2
Object2ObjectGraph,28,12,2
Object2ObjectGraph,28,12,2
Object2ObjectGraph,28,12,2
Object2ObjectGraph,28,12,2
Object2ObjectGraph,30,12,2
Object2ObjectGraph,24,12,2
Object2ObjectGraph,34,12,2
Object2ObjectGraph,33,12,2
Object2ObjectGraph,31,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,32,12,2
Object2ObjectGraph,30,12,2
Object2ObjectGraph,27,12,2
Object2ObjectGraph,27,12,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
Object2ObjectGraph,47,10,2
